NurseID,NurseName,DOB,Gender,Phone,City,Department
N000058,Nurse_58,1992-10-19,M,2789007547,City_5,Pediatrics
N000059,Nurse_59,1992-11-19,F,3299075503,City_73,Surgery
N000060,Nurse_60,1984-12-04,M,8704922515,City_37,ER
N000061,Nurse_61,1972-02-04,F,3379231017,City_13,ER
N000062,Nurse_62,1983-04-01,M,5084463111,City_14,Pediatrics
N000063,Nurse_63,1986-03-21,M,4368466624,City_98,Pediatrics
N000064,Nurse_64,1991-09-25,M,7741662812,City_35,ICU
N000065,Nurse_65,1964-03-31,F,9806711829,City_38,Pediatrics
N000066,Nurse_66,1997-03-08,F,6685247462,City_4,ER
N000067,Nurse_67,1962-07-07,F,7898243373,City_11,ICU
N000068,Nurse_68,1984-02-01,F,9349331243,City_44,ICU
N000069,Nurse_69,1969-08-11,F,1631459839,City_7,General
N000070,Nurse_70,1992-05-25,M,3039444972,City_65,ER
N000071,Nurse_71,1990-11-05,M,3147862183,City_38,Pediatrics
N000072,Nurse_72,1995-08-22,M,8312781426,City_75,ER
N000073,Nurse_73,1992-08-24,M,7213196863,City_37,ICU
N000074,Nurse_74,1973-04-15,M,7253289951,City_13,Pediatrics
N000075,Nurse_75,1989-10-13,F,5573657402,City_87,ICU
N000076,Nurse_76,1998-04-15,M,8966800156,City_63,ICU
N000077,Nurse_77,1991-11-21,M,9653260103,City_5,ICU
N000078,Nurse_78,1992-04-27,F,3103611444,City_34,Surgery
N000079,Nurse_79,1988-12-11,M,3994656271,City_26,ER
N000080,Nurse_80,1974-06-26,F,4705130317,City_68,ICU
N000081,Nurse_81,1976-05-12,M,7483012859,City_24,General
N000082,Nurse_82,1980-06-28,F,7050955420,City_86,ICU
N000083,Nurse_83,1989-02-01,M,5710804606,City_99,Surgery
N000084,Nurse_84,1976-08-19,M,1050870207,City_88,Surgery
N000085,Nurse_85,1966-09-09,M,6589336301,City_73,Pediatrics
N000086,Nurse_86,1995-01-20,F,1259789202,City_75,General
N000087,Nurse_87,1986-02-28,M,5128908427,City_85,ER
N000088,Nurse_88,1972-12-10,M,2129404758,City_53,Pediatrics
N000089,Nurse_89,1970-03-18,M,2542032145,City_71,ICU
N000090,Nurse_90,1979-11-19,M,9710094077,City_91,ER
N000091,Nurse_91,1987-12-07,F,8032547237,City_3,ICU
N000092,Nurse_92,1994-04-02,F,2556412433,City_70,Surgery
N000093,Nurse_93,1963-11-05,M,7492049110,City_2,Pediatrics
N000094,Nurse_94,1998-06-30,M,6207101904,City_48,Surgery
N000095,Nurse_95,1984-05-07,F,2564685638,City_18,ICU
N000096,Nurse_96,1965-12-16,F,7683717339,City_10,Pediatrics
N000097,Nurse_97,1978-09-04,M,7641566501,City_22,ICU
N000098,Nurse_98,1973-06-21,F,5123558400,City_34,ICU
N000099,Nurse_99,1974-08-21,M,1712707762,City_95,General
N000100,Nurse_100,1998-09-02,M,6003675211,City_89,ER
N000101,Nurse_101,1972-09-19,M,5757534285,City_88,Surgery
N000102,Nurse_102,1962-06-29,F,4863748907,City_96,Surgery
N000103,Nurse_103,1986-04-19,M,8284820633,City_53,ICU
N000104,Nurse_104,1973-03-30,F,4245370015,City_68,Surgery
N000105,Nurse_105,1980-10-15,M,5617962744,City_89,ICU
N000106,Nurse_106,1994-05-17,F,4347349598,City_96,ICU
N000107,Nurse_107,1971-08-18,M,5437538290,City_80,General
N000108,Nurse_108,1994-11-06,M,8313946937,City_26,Surgery
N000109,Nurse_109,1994-04-11,F,5266090571,City_39,General
N000110,Nurse_110,1987-01-18,M,6115715913,City_70,ER
N000111,Nurse_111,1985-04-23,M,9671903403,City_45,Pediatrics
N000112,Nurse_112,1984-08-25,M,6817166923,City_94,ER
N000113,Nurse_113,1976-02-07,F,7849236788,City_76,ICU
N000114,Nurse_114,1980-11-29,M,7417155969,City_10,ICU
N000115,Nurse_115,1981-05-26,F,9166320518,City_37,General
N000116,Nurse_116,1990-07-08,M,2344169064,City_5,Pediatrics
N000117,Nurse_117,1996-12-09,M,7186199230,City_75,ICU
N000118,Nurse_118,1978-02-24,M,4222672845,City_10,Surgery
N000119,Nurse_119,1967-02-03,M,6153883108,City_87,ER
N000120,Nurse_120,1968-02-26,F,5119694835,City_72,Surgery
N000121,Nurse_121,1997-10-18,F,1600510090,City_40,Surgery
N000122,Nurse_122,1965-08-08,F,1928817582,City_56,ER
N000123,Nurse_123,1964-06-25,F,2608919867,City_53,General
N000124,Nurse_124,1980-09-21,F,3842510388,City_35,Surgery
N000125,Nurse_125,1990-05-17,F,3983183536,City_66,ER
N000126,Nurse_126,1973-03-29,F,5647442285,City_74,General
N000127,Nurse_127,1982-10-12,M,9088687593,City_42,ER
N000128,Nurse_128,1966-08-29,M,1464900314,City_42,Surgery
N000129,Nurse_129,1961-02-21,M,3652192395,City_87,Surgery
N000130,Nurse_130,1970-07-24,M,1502158753,City_19,ER
N000131,Nurse_131,1982-01-11,M,4060427259,City_80,General
N000132,Nurse_132,1962-05-09,F,2714975726,City_46,General
N000133,Nurse_133,1987-06-24,F,6878002580,City_70,General
N000134,Nurse_134,1985-03-24,M,7025645466,City_50,General
N000135,Nurse_135,1991-01-31,F,8849446823,City_16,General
N000136,Nurse_136,1994-12-24,M,1619972427,City_23,Surgery
N000137,Nurse_137,1993-03-25,M,2672266924,City_75,General
N000138,Nurse_138,1980-12-28,M,6476476905,City_47,Surgery
N000139,Nurse_139,1994-02-17,M,3234616347,City_80,General
N000140,Nurse_140,1976-10-08,F,2815417217,City_19,General
N000141,Nurse_141,1986-05-10,M,2881138282,City_65,Surgery
N000142,Nurse_142,1998-07-09,F,5651999204,City_67,ICU
N000143,Nurse_143,1992-07-25,F,2703165027,City_45,Surgery
N000144,Nurse_144,1979-08-20,F,8451002588,City_87,ER
N000145,Nurse_145,1960-02-04,F,7127851019,City_34,Pediatrics
N000146,Nurse_146,1960-07-26,F,2247608715,City_69,ER
N000147,Nurse_147,1994-05-31,F,5237729228,City_85,Surgery
N000148,Nurse_148,1997-11-02,M,6773072391,City_67,Surgery
N000149,Nurse_149,1973-09-28,F,9361864689,City_32,Pediatrics
N000150,Nurse_150,1973-07-05,F,9141386826,City_53,General
N000151,Nurse_151,1977-08-28,F,3378714124,City_11,Surgery
N000152,Nurse_152,1970-03-25,F,9990780347,City_52,Surgery
N000153,Nurse_153,1960-10-02,M,7569007667,City_35,Surgery
N000154,Nurse_154,1967-01-19,F,1661607418,City_78,Surgery
N000155,Nurse_155,1980-03-10,M,8237098494,City_60,ER
N000156,Nurse_156,1978-02-07,M,6129260447,City_25,Pediatrics
N000157,Nurse_157,1995-12-17,M,9172381077,City_64,Surgery
N000158,Nurse_158,1996-07-23,M,5183046225,City_36,General
N000159,Nurse_159,1981-02-12,M,4590859821,City_9,Pediatrics
N000160,Nurse_160,1962-04-06,M,7790399227,City_71,Pediatrics
N000161,Nurse_161,1961-12-05,M,9033563374,City_1,General
N000162,Nurse_162,1981-02-14,M,1553660872,City_54,Surgery
N000163,Nurse_163,1978-11-12,M,7444773724,City_45,ER
N000164,Nurse_164,1997-09-11,F,2749357594,City_81,Surgery
N000165,Nurse_165,1967-08-08,F,6388073338,City_58,Surgery
N000166,Nurse_166,1983-12-03,F,1286014109,City_23,ICU
N000167,Nurse_167,1963-03-18,F,7536906605,City_57,Pediatrics
N000168,Nurse_168,1971-01-03,F,4990594974,City_60,ICU
N000169,Nurse_169,1968-08-20,F,1336891674,City_67,ER
N000170,Nurse_170,1990-08-22,M,5015087851,City_46,Surgery
N000171,Nurse_171,1979-06-11,M,8374016999,City_17,ICU
N000172,Nurse_172,1974-08-20,M,8504604958,City_3,Pediatrics
N000173,Nurse_173,1990-03-29,F,3275771987,City_45,General
N000174,Nurse_174,1991-05-26,M,7175019933,City_24,ER
N000175,Nurse_175,1992-12-30,F,8609908762,City_36,ER
N000176,Nurse_176,1992-11-09,F,7747511854,City_93,Pediatrics
N000177,Nurse_177,1994-01-26,F,4621121031,City_45,Surgery
N000178,Nurse_178,1974-11-29,F,2779635356,City_22,ICU
N000179,Nurse_179,1967-10-20,M,4689525928,City_85,Pediatrics
N000180,Nurse_180,1999-09-08,F,5743852012,City_23,Surgery
N000181,Nurse_181,1963-05-07,F,6632029165,City_92,Surgery
N000182,Nurse_182,1985-06-06,F,7133228004,City_26,ER
N000183,Nurse_183,1965-11-14,F,2401377110,City_21,Pediatrics
N000184,Nurse_184,1977-06-06,F,6829990715,City_60,Pediatrics
N000185,Nurse_185,1960-05-21,M,8592212567,City_2,Surgery
N000186,Nurse_186,1985-11-28,M,1234763427,City_4,ICU
N000187,Nurse_187,1976-08-24,M,3542304523,City_83,General
N000188,Nurse_188,1993-02-03,M,5183533122,City_66,Surgery
N000189,Nurse_189,1975-12-21,M,4591550888,City_1,General
N000190,Nurse_190,1965-02-01,M,3644200888,City_54,General
N000191,Nurse_191,1994-06-21,F,3190190569,City_24,Pediatrics
N000192,Nurse_192,1961-09-01,M,4786532571,City_51,General
N000193,Nurse_193,1971-02-24,F,3526257054,City_47,General
N000194,Nurse_194,1984-11-20,M,3351474403,City_47,Pediatrics
N000195,Nurse_195,1996-08-01,M,6953434474,City_12,ICU
N000196,Nurse_196,1972-08-08,M,6562762772,City_26,General
N000197,Nurse_197,1976-06-15,F,5905875894,City_51,Pediatrics
N000198,Nurse_198,1996-11-03,F,1453275292,City_50,ICU
N000199,Nurse_199,1980-11-20,M,6999228131,City_5,ICU
N000200,Nurse_200,1998-12-05,M,1918163323,City_63,ER
N000201,Nurse_201,1997-09-30,M,5870189133,City_56,General
N000202,Nurse_202,1974-08-29,F,3373836665,City_18,ER
N000203,Nurse_203,1986-11-23,M,6656366319,City_2,ER
N000204,Nurse_204,1979-07-03,M,7102971500,City_21,ICU
N000205,Nurse_205,1970-05-18,M,2233666474,City_91,Surgery
N000206,Nurse_206,1997-06-10,M,5789427482,City_63,Surgery
N000207,Nurse_207,1973-10-01,F,1982988276,City_25,Surgery
N000208,Nurse_208,1969-03-17,M,4171143705,City_94,Pediatrics
N000209,Nurse_209,1966-03-05,F,6113873916,City_15,ICU
N000210,Nurse_210,1980-11-22,M,2786190450,City_38,ER
N000211,Nurse_211,1967-04-07,M,5242426526,City_9,ER
N000212,Nurse_212,1992-05-07,F,6009782854,City_6,Surgery
N000213,Nurse_213,1997-09-13,M,7260845326,City_21,ICU
N000214,Nurse_214,1990-07-15,M,3814037370,City_42,General
N000215,Nurse_215,1997-09-29,M,5816317138,City_47,Surgery
N000216,Nurse_216,1994-05-04,F,3066524915,City_3,ER
N000217,Nurse_217,1994-04-13,M,2553653980,City_80,General
N000218,Nurse_218,1970-06-07,F,3939828281,City_80,Pediatrics
N000219,Nurse_219,1969-02-09,F,4461247548,City_61,ICU
N000220,Nurse_220,1970-06-02,M,7333680995,City_27,General
N000221,Nurse_221,1984-03-30,F,9469209407,City_4,General
N000222,Nurse_222,1983-07-24,F,7696968359,City_16,ER
N000223,Nurse_223,1978-10-29,F,9365202810,City_98,Surgery
N000224,Nurse_224,1995-10-15,F,6140596689,City_52,Surgery
N000225,Nurse_225,1976-10-20,M,3114612741,City_4,ER
N000226,Nurse_226,1970-02-02,F,7278027861,City_75,Pediatrics
N000227,Nurse_227,1994-01-29,M,4476676828,City_82,ER
N000228,Nurse_228,1994-12-12,M,4995587258,City_15,General
N000229,Nurse_229,1983-09-20,M,5189518926,City_24,ER
N000230,Nurse_230,1997-05-21,M,4544502798,City_24,General
N000231,Nurse_231,1995-07-17,M,8254396057,City_62,General
N000232,Nurse_232,1993-12-14,F,7482812250,City_65,ER
N000233,Nurse_233,1964-06-13,M,6005461911,City_19,Surgery
N000234,Nurse_234,1982-01-11,M,4256556021,City_80,ER
N000235,Nurse_235,1983-08-10,F,9121260165,City_27,ICU
N000236,Nurse_236,1975-07-24,F,8921973882,City_82,Surgery
N000237,Nurse_237,1960-04-22,F,4431742244,City_47,Pediatrics
N000238,Nurse_238,1980-07-19,M,5617462365,City_98,ICU
N000239,Nurse_239,1970-12-31,M,7900313811,City_86,ICU
N000240,Nurse_240,1998-09-03,F,2597207980,City_29,ER
N000241,Nurse_241,1965-06-07,M,9361130919,City_79,Surgery
N000242,Nurse_242,1971-03-26,M,7502846219,City_97,ICU
N000243,Nurse_243,1996-01-04,F,5834173322,City_90,General
N000244,Nurse_244,1971-04-08,M,6057699180,City_72,Pediatrics
N000245,Nurse_245,1966-07-14,F,5382058171,City_89,ICU
N000246,Nurse_246,1997-01-13,F,6348448457,City_45,Pediatrics
N000247,Nurse_247,1988-11-05,F,2205893598,City_55,Pediatrics
N000248,Nurse_248,1969-09-21,M,6917318274,City_77,ICU
N000249,Nurse_249,1983-04-07,M,5886903381,City_81,Pediatrics
N000250,Nurse_250,1985-07-23,M,5204860738,City_28,Surgery
N000251,Nurse_251,1987-09-19,M,6337815349,City_14,Pediatrics
N000252,Nurse_252,1985-08-26,M,2581886106,City_39,Pediatrics
N000253,Nurse_253,1991-03-11,F,2162379477,City_17,Surgery
N000254,Nurse_254,1974-11-20,M,1448806930,City_51,ER
N000255,Nurse_255,1995-10-08,M,9656606045,City_47,General
N000256,Nurse_256,1971-12-24,F,2608999990,City_13,Surgery
N000257,Nurse_257,1974-09-16,F,9587347871,City_21,General
N000258,Nurse_258,1964-04-12,M,3842937442,City_25,Pediatrics
N000259,Nurse_259,1982-06-01,F,8352933618,City_53,ICU
N000260,Nurse_260,1975-06-06,F,3715912479,City_65,Pediatrics
N000261,Nurse_261,1980-02-07,M,1027424529,City_26,Pediatrics
N000262,Nurse_262,1969-09-15,F,6343782696,City_4,ICU
N000263,Nurse_263,1993-02-16,F,8904595885,City_20,Surgery
N000264,Nurse_264,1988-02-26,F,5982483886,City_86,General
N000265,Nurse_265,1983-06-10,F,7856266926,City_2,Pediatrics
N000266,Nurse_266,1978-06-23,M,5981975220,City_20,ICU
N000267,Nurse_267,1964-08-13,M,8596428852,City_60,ICU
N000268,Nurse_268,1993-08-20,M,7716745053,City_59,Surgery
N000269,Nurse_269,1968-03-01,M,9353287506,City_28,ER
N000270,Nurse_270,1977-10-14,F,2854845338,City_61,General
N000271,Nurse_271,1989-02-12,F,4150441822,City_95,ER
N000272,Nurse_272,1999-10-24,F,2840131926,City_61,Pediatrics
N000273,Nurse_273,1963-03-28,M,8568924090,City_33,Pediatrics
N000274,Nurse_274,1987-05-05,F,9946308392,City_76,Surgery
N000275,Nurse_275,1969-11-06,F,2577260170,City_92,Surgery
N000276,Nurse_276,1998-02-04,F,3726044836,City_65,ICU
N000277,Nurse_277,1995-07-31,F,9742384773,City_15,ICU
N000278,Nurse_278,1972-12-03,M,7604046999,City_60,General
N000279,Nurse_279,1996-02-06,M,6260881230,City_74,General
N000280,Nurse_280,1965-10-31,M,9410672035,City_91,Surgery
N000281,Nurse_281,1993-04-21,M,1480789410,City_30,ER
N000282,Nurse_282,1997-08-23,M,4989563140,City_93,ICU
N000283,Nurse_283,1970-12-08,M,6988103040,City_25,ICU
N000284,Nurse_284,1994-09-24,F,3135649714,City_32,ICU
N000285,Nurse_285,1970-11-26,M,7982170470,City_88,Pediatrics
N000286,Nurse_286,1969-07-29,M,1251411808,City_83,Pediatrics
N000287,Nurse_287,1979-06-23,M,2635054116,City_22,ICU
N000288,Nurse_288,1989-07-16,F,4916478588,City_85,General
N000289,Nurse_289,1980-07-12,M,3300280682,City_3,Surgery
N000290,Nurse_290,1969-10-03,F,2653423602,City_98,Pediatrics
N000291,Nurse_291,1978-07-10,F,3401423077,City_50,General
N000292,Nurse_292,1992-10-11,M,6905941539,City_58,General
N000293,Nurse_293,1979-12-01,M,3709545075,City_71,Pediatrics
N000294,Nurse_294,1988-04-24,M,9572913500,City_23,Pediatrics
N000295,Nurse_295,1967-09-14,F,4996510558,City_69,ICU
N000296,Nurse_296,1989-03-01,M,5492816464,City_81,Surgery
N000297,Nurse_297,1986-06-14,F,6861902779,City_45,Pediatrics
N000298,Nurse_298,1983-09-14,F,6881392726,City_85,ICU
N000299,Nurse_299,1978-01-11,F,8407553367,City_79,General
N000300,Nurse_300,1978-04-17,F,6161328199,City_7,General
N000301,Nurse_301,1969-10-05,F,8817858503,City_72,General
N000302,Nurse_302,1990-11-06,M,8700896771,City_36,Pediatrics
N000303,Nurse_303,1994-12-16,M,3621306282,City_26,ICU
N000304,Nurse_304,1963-03-13,F,8926575969,City_16,Surgery
N000305,Nurse_305,1990-10-24,M,5868196986,City_84,Surgery
N000306,Nurse_306,1983-02-07,F,2918429029,City_76,ER
N000307,Nurse_307,1983-08-04,M,7318216741,City_85,General
N000308,Nurse_308,1980-04-02,M,3308347677,City_41,Surgery
N000309,Nurse_309,1991-08-04,M,8928631686,City_44,Pediatrics
N000310,Nurse_310,1977-08-18,M,1914151151,City_6,Pediatrics
N000311,Nurse_311,1996-01-27,M,5362379121,City_97,Pediatrics
N000312,Nurse_312,1988-02-12,F,1242305296,City_52,Surgery
N000313,Nurse_313,1975-10-13,F,1093635596,City_59,ER
N000314,Nurse_314,1965-02-21,M,5548923157,City_42,ER
N000315,Nurse_315,1970-10-20,F,6305869056,City_4,ICU
N000316,Nurse_316,1991-04-19,F,9641850961,City_38,Surgery
N000317,Nurse_317,1992-02-22,M,3817356254,City_88,Surgery
N000318,Nurse_318,1982-12-17,M,3809042674,City_58,Pediatrics
N000319,Nurse_319,1964-12-25,M,2305221097,City_11,ER
N000320,Nurse_320,1999-03-17,M,2637461296,City_33,General
N000321,Nurse_321,1996-09-17,F,2338634088,City_61,General
N000322,Nurse_322,1983-04-13,F,9337093430,City_38,General
N000323,Nurse_323,1976-02-17,M,6737619577,City_76,General
N000324,Nurse_324,1966-03-19,M,1340414889,City_46,ER
N000325,Nurse_325,1990-10-07,M,1878951838,City_10,ER
N000326,Nurse_326,1962-06-13,F,9260624442,City_3,Surgery
N000327,Nurse_327,1993-05-15,F,9074547698,City_47,General
N000328,Nurse_328,1992-10-10,F,8546706395,City_71,Surgery
N000329,Nurse_329,1965-09-19,M,9953849286,City_13,ER
N000330,Nurse_330,1964-08-07,F,8154040364,City_94,Surgery
N000331,Nurse_331,1987-11-16,M,2936420461,City_76,General
N000332,Nurse_332,1980-10-24,M,6891183886,City_26,ER
N000333,Nurse_333,1971-10-14,M,1704921531,City_71,General
N000334,Nurse_334,1960-02-19,F,6771822652,City_37,General
N000335,Nurse_335,1996-09-28,F,6040230128,City_96,ER
N000336,Nurse_336,1968-10-21,M,6938842437,City_22,ICU
N000337,Nurse_337,1961-06-30,F,2938644367,City_61,ER
N000338,Nurse_338,1963-09-12,M,3610911480,City_95,Pediatrics
N000339,Nurse_339,1979-09-19,F,8383461161,City_40,ER
N000340,Nurse_340,1982-03-07,M,4192609731,City_92,Surgery
N000341,Nurse_341,1979-12-13,F,5025583825,City_90,ER
N000342,Nurse_342,1977-12-28,F,6830490707,City_36,Pediatrics
N000343,Nurse_343,1997-08-02,M,4094625548,City_79,ER
N000344,Nurse_344,1990-10-17,F,9169337141,City_80,ICU
N000345,Nurse_345,1993-09-14,M,3687089588,City_6,ER
N000346,Nurse_346,1961-08-22,M,8823475800,City_14,ER
N000347,Nurse_347,1981-10-30,F,8067918773,City_53,ER
N000348,Nurse_348,1966-08-17,F,5226955502,City_30,Surgery
N000349,Nurse_349,1994-10-09,F,5771633099,City_13,ER
N000350,Nurse_350,1984-09-16,F,7776363118,City_67,Pediatrics
N000351,Nurse_351,1987-01-12,F,1502254098,City_54,ICU
N000352,Nurse_352,1970-02-23,F,5857098472,City_94,ICU
N000353,Nurse_353,1995-04-19,M,9316882392,City_20,ER
N000354,Nurse_354,1999-09-03,M,4373320778,City_20,Surgery
N000355,Nurse_355,1975-06-19,F,3766588489,City_15,ER
N000356,Nurse_356,1978-01-07,F,9828651253,City_5,General
N000357,Nurse_357,1960-09-27,M,5238544753,City_20,Surgery
N000358,Nurse_358,1982-01-07,M,2704213546,City_17,ER
N000359,Nurse_359,1981-03-29,F,7613476518,City_71,General
N000360,Nurse_360,1966-10-31,F,9512024385,City_20,ER
N000361,Nurse_361,1961-08-31,M,6174695700,City_41,Pediatrics
N000362,Nurse_362,1964-08-13,M,1772971631,City_54,Pediatrics
N000363,Nurse_363,1971-11-04,M,5218272235,City_8,ER
N000364,Nurse_364,1972-04-25,M,1802672201,City_63,Pediatrics
N000365,Nurse_365,1967-01-08,M,1883710232,City_31,Pediatrics
N000366,Nurse_366,1981-01-28,F,8869234161,City_78,General
N000367,Nurse_367,1966-07-03,M,6536306223,City_93,General
N000368,Nurse_368,1966-05-09,M,7391275847,City_42,Pediatrics
N000369,Nurse_369,1985-02-14,F,7791375162,City_26,General
N000370,Nurse_370,1981-05-25,M,3257352644,City_17,ER
N000371,Nurse_371,1994-08-21,F,7703030349,City_22,ICU
N000372,Nurse_372,1987-07-22,M,2694810247,City_66,General
N000373,Nurse_373,1978-05-18,F,8254934433,City_45,Surgery
N000374,Nurse_374,1990-08-17,M,8062630065,City_65,Surgery
N000375,Nurse_375,1996-02-03,F,2918100457,City_55,Pediatrics
N000376,Nurse_376,1961-04-15,M,9231224896,City_43,Surgery
N000377,Nurse_377,1999-08-10,M,1085336486,City_94,ER
N000378,Nurse_378,1979-05-13,F,2478039561,City_93,General
N000379,Nurse_379,1970-11-08,F,7432101149,City_36,ER
N000380,Nurse_380,1985-04-16,F,6567810244,City_43,Pediatrics
N000381,Nurse_381,1978-01-01,F,4036167084,City_79,ER
N000382,Nurse_382,1966-10-24,M,1755633190,City_64,Surgery
N000383,Nurse_383,1975-09-14,M,1455750339,City_83,ICU
N000384,Nurse_384,1990-03-03,F,1773274676,City_57,ICU
N000385,Nurse_385,1987-05-16,M,5278222691,City_62,General
N000386,Nurse_386,1984-10-30,M,5893495104,City_66,General
N000387,Nurse_387,1967-04-08,F,5315297917,City_95,General
N000388,Nurse_388,1990-07-09,M,2726814065,City_2,ER
N000389,Nurse_389,1989-07-23,M,6061816234,City_88,General
N000390,Nurse_390,1976-08-10,F,5221281027,City_73,Surgery
N000391,Nurse_391,1986-06-21,M,7913917677,City_87,ER
N000392,Nurse_392,1988-02-21,M,1787053001,City_3,ER
N000393,Nurse_393,1988-02-19,F,6654981706,City_16,Pediatrics
N000394,Nurse_394,1971-10-05,F,4214233146,City_31,Pediatrics
N000395,Nurse_395,1973-05-17,M,1149567858,City_19,ER
N000396,Nurse_396,1967-05-28,F,6803247006,City_85,ER
N000397,Nurse_397,1971-06-15,M,3402248480,City_20,General
N000398,Nurse_398,1967-08-24,M,7703559474,City_32,Surgery
N000399,Nurse_399,1997-07-30,M,9423799025,City_22,ER
N000400,Nurse_400,1996-10-27,F,6015056428,City_48,ICU
N000401,Nurse_401,1993-04-15,M,5282251398,City_24,Pediatrics
N000402,Nurse_402,1977-07-06,F,5518242224,City_24,ER
N000403,Nurse_403,1964-02-13,M,2587831275,City_61,General
N000404,Nurse_404,1979-03-09,F,3020530674,City_74,Pediatrics
N000405,Nurse_405,1998-11-26,M,7305724661,City_55,Pediatrics
N000406,Nurse_406,1995-08-18,M,1728894069,City_99,ICU
N000407,Nurse_407,1987-05-07,F,7788501696,City_79,Pediatrics
N000408,Nurse_408,1991-04-07,F,7842959254,City_84,Surgery
N000409,Nurse_409,1981-02-12,F,9824476252,City_27,Pediatrics
N000410,Nurse_410,1962-02-10,M,4041706215,City_66,Pediatrics
N000411,Nurse_411,1975-12-30,F,8831891935,City_83,General
N000412,Nurse_412,1982-11-28,F,3597027491,City_53,Pediatrics
N000413,Nurse_413,1967-01-15,F,2246659697,City_54,Surgery
N000414,Nurse_414,1968-01-08,M,6946054260,City_86,General
N000415,Nurse_415,1974-10-01,F,7799458483,City_8,General
N000416,Nurse_416,1972-11-30,F,1473151952,City_34,Surgery
N000417,Nurse_417,1994-10-31,F,9544281260,City_75,Surgery
N000418,Nurse_418,1988-10-31,F,9059647475,City_97,Pediatrics
N000419,Nurse_419,1998-06-25,F,7021766111,City_45,ICU
N000420,Nurse_420,1982-04-22,M,4759762793,City_52,ER
